file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc51207829.mseed,XQ.ME09.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:17.380,0.773,U,E
nc51207829.mseed,XQ.ME13.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:11.280,0.941,U,E
nc51207829.mseed,XQ.ME29.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:17.380,0.885,U,E
nc51207829.mseed,XQ.ME30.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:12.880,0.943,U,E
nc51207829.mseed,XQ.ME27.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:05.270,0.966,U,E
nc51207829.mseed,XQ.ME32.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:11.740,0.833,U,E
nc51207829.mseed,XQ.ME35.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:07.180,0.81,U,E
nc51207829.mseed,XQ.ME34.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:11.920,0.889,U,E
nc51207829.mseed,XQ.ME36.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:09.380,0.949,U,E
nc51207829.mseed,XQ.ME37.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:04.860,0.903,U,E
nc51207829.mseed,XQ.ME38.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:00.580,0.903,U,E
nc51207829.mseed,XQ.ME42.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:36:55.010,0.955,U,E
nc51207829.mseed,XQ.ME44.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:36:59.050,0.963,U,E
nc51207829.mseed,XQ.ME43.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:36:57.680,0.966,U,E
nc51207829.mseed,XQ.ME45.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:00.640,0.877,U,E
nc51207829.mseed,XQ.ME39.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:02.670,0.897,U,E
nc51207829.mseed,XQ.ME46.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:05.300,0.949,U,E
nc51207829.mseed,XQ.ME49.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:00.880,0.953,U,E
nc51207829.mseed,XQ.ME47.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:08.070,0.809,U,E
nc51207829.mseed,XQ.ME53.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:05.980,0.793,U,E
nc51207829.mseed,XQ.ME52.01.BHZ,2008-09-08 11:36:22.710,P,2008-09-08 11:37:02.360,0.951,U,E
