station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
NC.LSF..EH,2014-08-25 21:56:50.090,4173,2014-08-25 21:57:31.820,0.959,P,nc72284206.mseed,69.47526550292969,69.47526550292969,D,I,,
NC.LVR..EH,2014-08-25 21:56:50.090,4146,2014-08-25 21:57:31.550,0.828,P,nc72284206.mseed,1765.4744873046875,1765.4744873046875,U,I,,
PB.B045..EH,2014-08-25 21:56:50.090,4078,2014-08-25 21:57:30.870,0.909,P,nc72284206.mseed,2867.0673828125,2867.0673828125,D,E,,
PB.B047..EH,2014-08-25 21:56:50.090,4368,2014-08-25 21:57:33.770,0.869,P,nc72284206.mseed,1654.6807861328125,1654.6807861328125,U,E,,
PB.B049..EH,2014-08-25 21:56:50.090,3959,2014-08-25 21:57:29.680,0.985,P,nc72284206.mseed,10377.3896484375,10377.3896484375,D,I,,
PB.B932..EH,2014-08-25 21:56:50.090,4291,2014-08-25 21:57:33.000,0.935,P,nc72284206.mseed,592.7083129882812,592.7083129882812,U,E,,
PB.B933..EH,2014-08-25 21:56:50.090,4197,2014-08-25 21:57:32.060,0.944,P,nc72284206.mseed,2945.5419921875,2945.5419921875,D,E,,
PB.B934..EH,2014-08-25 21:56:50.090,4228,2014-08-25 21:57:32.370,0.864,P,nc72284206.mseed,1110.3729248046875,1110.3729248046875,D,E,,
PB.B934..EH,2014-08-25 21:56:50.090,8591,2014-08-25 21:58:16.000,0.945,P,nc72284206.mseed,980.6271362304688,980.6271362304688,U,I,,
PB.B934..EH,2014-08-25 21:56:50.090,14923,2014-08-25 21:59:19.320,0.804,P,nc72284206.mseed,1310.6270751953125,1310.6270751953125,U,I,,
PB.B935..EH,2014-08-25 21:56:50.090,3675,2014-08-25 21:57:26.840,0.959,P,nc72284206.mseed,11077.2548828125,11077.2548828125,U,I,,
TA.M02C..HH,2014-08-25 21:56:50.090,4815,2014-08-25 21:57:38.240,0.85,P,nc72284206.mseed,422.38037109375,422.38037109375,D,E,,
TA.N02D..HH,2014-08-25 21:56:50.090,4309,2014-08-25 21:57:33.180,0.918,P,nc72284206.mseed,7471.86962890625,7471.86962890625,U,E,,
TA.O02D..HH,2014-08-25 21:56:50.090,3897,2014-08-25 21:57:29.060,0.965,P,nc72284206.mseed,8054.833984375,8054.833984375,U,I,,
Z5.GB260..HH,2014-08-25 21:56:50.090,5323,2014-08-25 21:57:43.320,0.863,P,nc72284206.mseed,48567.0078125,48567.0078125,D,E,,
BK.JCC.00.HH,2011-04-02 18:47:55.630,4069,2011-04-02 18:48:36.320,0.948,P,nc71546480.mseed,7414.1982421875,7414.1982421875,D,I,,
NC.KHBB..HH,2011-04-02 18:47:55.630,4951,2011-04-02 18:48:45.140,0.942,P,nc71546480.mseed,595.5513305664062,595.5513305664062,D,E,,
NC.KHMB..HH,2011-04-02 18:47:55.630,4455,2011-04-02 18:48:40.180,0.943,P,nc71546480.mseed,1794.0157470703125,1794.0157470703125,U,I,,
