event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
71314741,2009:11:15T01:14:26.86,40.416666666666664,-124.31666666666666,27.86,2.47,179.0,210.0,120.0,5.0,80.0,0.11,33,,40,13,40,0
71317976,2009:11:23T00:10:48.87,41.25,-124.81666666666666,23.4,2.64,214.0,245.0,155.0,50.0,-130.0,0.17,25,,25,45,50,0
71317976,2009:11:23T00:10:48.87,41.25,-124.81666666666666,23.4,2.64,214.0,105.0,195.0,5.0,-50.0,0.17,25,,25,25,40,1
71317385,2009:12:03T16:15: 5.35,40.3,-124.38333333333334,20.99,2.15,228.0,100.0,190.0,30.0,80.0,0.16,32,,40,13,30,0
71321525,2009:12:13T04:35:29.62,40.266666666666666,-124.35,22.01,2.58,229.0,200.0,110.0,30.0,-90.0,0.06,29,,30,15,50,0
71321525,2009:12:13T04:35:29.62,40.266666666666666,-124.35,22.01,2.58,229.0,275.0,185.0,80.0,10.0,0.07,29,,18,40,35,1
71325090,2009:12:22T23:40:43.92,39.766666666666666,-123.33333333333333,8.49,3.96,41.0,120.0,210.0,50.0,10.0,0.14,117,,13,15,25,0
71330070,2010:01:04T14:10:54.78,40.266666666666666,-123.86666666666666,31.51,2.59,88.0,275.0,185.0,65.0,-20.0,0.09,35,,20,43,35,0
71330090,2010:01:04T14:24:54.44,40.266666666666666,-123.86666666666666,29.76,4.12,86.0,140.0,230.0,80.0,-10.0,0.09,110,,8,20,25,0
71330095,2010:01:04T14:29:41.08,40.25,-123.85,30.06,2.7,95.0,235.0,145.0,45.0,-140.0,0.16,39,,18,25,35,0
71330115,2010:01:04T15:44:55.64,40.25,-123.85,29.01,2.57,88.0,230.0,140.0,75.0,140.0,0.28,35,,15,28,35,0
71330115,2010:01:04T15:44:55.64,40.25,-123.85,29.01,2.57,88.0,95.0,185.0,85.0,-90.0,0.28,35,,25,8,5,1
71330120,2010:01:04T15:51:20.26,40.28333333333333,-123.9,30.59,2.04,82.0,135.0,225.0,75.0,-10.0,0.01,25,,15,38,40,0
71336156,2010:01:06T13:31: 7.13,40.36666666666667,-124.31666666666666,33.58,2.61,181.0,195.0,105.0,20.0,70.0,0.05,28,,10,8,20,0
71338066,2010:01:10T00:27:39.32,40.65,-124.68333333333334,28.74,6.5,220.0,150.0,240.0,40.0,0.0,0.03,55,,10,43,35,0
71338066,2010:01:10T00:27:39.32,40.65,-124.68333333333334,28.74,6.5,220.0,60.0,150.0,70.0,-160.0,0.04,55,,20,35,15,0
71338066,2010:01:10T00:27:39.32,40.65,-124.68333333333334,28.74,6.5,220.0,60.0,150.0,85.0,-130.0,0.03,55,,10,15,25,1
71338076,2010:01:10T00:43:15.67,40.61666666666667,-124.75,28.29,3.71,223.0,145.0,235.0,10.0,0.0,0.09,39,,20,43,50,0
71338086,2010:01:10T00:46:25.29,40.61666666666667,-124.7,24.09,2.94,221.0,130.0,220.0,90.0,-90.0,0.1,44,,30,25,35,0
71338081,2010:01:10T00:48:38.61,40.666666666666664,-124.58333333333333,23.44,3.32,231.0,245.0,155.0,55.0,170.0,0.09,51,,8,45,80,0
